"x = 5; x = x + 10. Che valore ha x alla fine?";15;10;5;1
Come si chiama una procedura passo dopo passo per risolvere un problema in informatica?;Algoritmo;Ritmo;Logaritmo;1
Un programma si blocca perché è stato inserito del testo in un campo numerico. Questo è un...;Danno hardware;Aggiornamento Windows;Bug (errore di programmazione);3
Quale strumento si usa nel codice per ripetere un comando 50 volte?;Tasto Reset;Loop (ciclo);Mouse nuovo;2
Perché si separano HTML (contenuto) e CSS (design)?;Perché il CSS funziona al buio;Perché internet diventa più veloce;Per modificare il design in modo centralizzato;3
Dove vengono salvati in modo sicuro migliaia di account utente in un'app?;In un file Excel;In un database;Direttamente nel monitor;2
Cosa succede di solito quando si dimentica una parentesi o un punto e virgola nel codice?;Il colore del testo cambia;Il computer rallenta;Il programma non si avvia (errore di sintassi);3
La tua app meteo mostra dati in tempo reale. Da dove vengono tecnicamente?;Il computer li stima;Da una foto del cielo;Tramite un'interfaccia API;3
Cos'è 'SQL'?;Un nuovo sistema operativo;Un linguaggio per database;Un programma grafico;2
Cosa significa 'Frontend' nello sviluppo web?;Il cavo di alimentazione del server;La parte che salva i dati;La parte visibile per l'utente;3
Cos'è un 'Array'?;Uno scudo antivirus;Un tavolo speciale per computer;Una lista di elementi nel codice;3
Quale tipo di dato memorizza testo come 'Ciao Mondo'?;Integer;String;Boolean;2
Cosa fa un 'Compilatore'?;Traduce il codice in linguaggio macchina;Elimina i file vecchi;Stampa documenti;1
Cos'è Git?;Un corso di programmazione per bambini;Un sistema di controllo versione;Uno schermo speciale;2
Quale tipo di dato può essere solo 'vero' (true) o 'falso' (false)?;String;Float;Boolean;3
Cos'è principalmente JavaScript?;Linguaggio di programmazione per l'interazione web;Un programma di scrittura;Uno strumento per Excel;1
Cosa significa 'Backend'?;Il retro del monitor;Un ticket di supporto;La logica e l'elaborazione dei dati in background;3
Cos'è il 'Clean Code'?;Un programma che pulisce il PC;Codice senza spazi;Codice ben leggibile e manutenibile;3
Cos'è una 'Variabile'?;Una connessione internet instabile;Un segnaposto per valori nel programma;Un tavolo per computer regolabile;2
Cosa fa la funzione 'print()' in molti linguaggi?;Stampa carta dalla stampante;Salva una foto;Mostra testo sullo schermo;3
Qual è il compito principale di un 'Server'?;Ordinare materiale d'ufficio;Fornire servizi e dati in rete;Illuminare il monitor;2
Cosa fa un 'Router'?;Raffredda il processore;Distrugge i vecchi hard disk;Instrada i pacchetti di dati tra le reti;3
Cos'è un 'Indirizzo IP'?;L'identificatore univoco di un dispositivo in rete;L'indirizzo postale dell'azienda;La password del Wi-Fi;1
Cosa significa 'VPN'?;Very Powerful Node;Video Player Network;Virtual Private Network (connessione sicura);3
