Du schreibst 'x = 5' und danach 'x = x + 10'. Welchen Wert hat die Variable x am Ende?;10;15;5;2
Wie nennt man die exakte 'Bauanleitung' aus Code, die ein Computer abarbeitet?;Rhythmus;Logarithmus;Algorithmus;2
Deine Webseite sieht am PC super aus, aber auf dem Handy ist alles verschoben. Was fehlt?;Ein neues Ladekabel;Responsive Design;Mehr Arbeitsspeicher;3
Ein Programm stürzt ab, weil ein Nutzer seinen Namen in ein Feld für Zahlen eingibt. Was ist das?;Ein Bug (Programmierfehler);Ein Hardware-Schaden;Ein Windows-Update;2
Du willst einen Befehl 50-mal wiederholen. Welches Werkzeug nutzt du im Code?;Einen Loop (Schleife);Einen Reset-Knopf;Eine neue Maus;1
Warum trennen Web-Entwickler HTML (Inhalt) und CSS (Design)?;Damit man das Aussehen ändern kann, ohne den Text zu löschen;Damit das Internet nicht überlastet wird;Weil CSS nur im Dunkeln funktioniert;1
Wo werden in einer App die Tausenden von Benutzerkonten und Passwörter gespeichert?;Direkt im Monitor;In einer Datenbank;In einer Excel-Tabelle auf dem Desktop;1
Was passiert, wenn du im Programmcode ein Semikolon oder eine Klammer vergisst?;Das Programm startet gar nicht (Syntaxfehler);Der Computer wird langsamer;Die Schriftfarbe ändert sich;2
Deine Wetter-App zeigt Live-Daten an. Woher kommen diese Informationen technisch gesehen?;Durch ein Foto vom Himmel;Durch eine API-Schnittstelle;Der Computer schätzt das Wetter;1
Was ist der Vorteil, wenn man Code in kleine 'Funktionen' aufteilt?;Der Code ist übersichtlicher und wiederverwendbar;Die CPU wird dadurch gekühlt;Man muss weniger tippen;2
Ein Programm prüft: 'Ist das Passwort richtig?'. Welche Antwort gibt das System intern?;Einen Text mit 100 Wörtern;Ein Video-Signal;Einen Boolean (True/False);1
Was ist ein 'Wireframe' bei der App-Entwicklung?;Ein fertiges Logo;Ein technisches Kabel;Ein grober Bauplan der App-Oberfläche;3
Wie nennt man den Teil einer App, den der Benutzer sieht und anklickt?;Datenbank;Frontend;Backend;1
Warum ist 'Einrücken' im Code so wichtig?;Damit man den Code besser lesen kann;Damit der PC nicht abstürzt;Damit der Stromverbrauch sinkt;2
Was ist 'Scratch'?;Ein Kratzer im Gehäuse;Eine Programmiersprache mit bunten Blöcken für Einsteiger;Ein Programm zum Musik löschen;1
Was macht ein 'Compiler'?;Er lädt den Akku auf;Er übersetzt Code in Computersprache;Er säubert die Tastatur;2
Du willst eine App für iPhones und Android bauen. Was ist das Problem?;Man braucht zwei Internetverträge;Beide brauchen unterschiedliche Programmiersprachen;Die Apps wiegen zu viel;2
Wie verhindert ein Entwickler, dass Hacker Millionen Passwörter in einer Sekunde testen?;Durch einen grösseren Bildschirm;Durch eine Zeitverzögerung nach falschen Eingaben;Indem er das Internet ausschaltet;2
Wo liegen deine Daten wirklich, wenn sie in der 'Cloud' gespeichert sind?;Verteilt in den Funkwellen der Luft;In einem Rechenzentrum auf Servern;In einem geheimen Satelliten;2
Welche Massnahme schützt dein WLAN zu Hause am besten vor fremden Zugriffen?;Ein langes LAN-Kabel nutzen;Ein starkes Passwort und WPA3-Verschlüsselung;Den Router im Schrank verstecken;2
Warum braucht jedes Gerät im Internet eine IP-Adresse?;Damit der Akku länger hält;Damit Datenpakete den richtigen Empfänger finden;Damit man weiss, wie viel es gekostet hat;2
Was ist der Vorteil von 'Virtualisierung' auf einem Server?;Der Server wird dadurch unsichtbar;Man kann mehrere Betriebssysteme gleichzeitig auf einer Hardware nutzen;Man braucht kein Stromkabel mehr;2
Du musst von zu Hause sicher auf die Daten in deiner Firma zugreifen. Welches Tool nutzt du?;Ein VPN;WhatsApp;Ein öffentliches WLAN ohne Passwort;2
Warum ist die Kühlung in einem Serverraum so extrem wichtig?;Damit der Staub besser fliegen kann;Damit die Mitarbeiter nicht schwitzen;Damit die Hardware nicht durch Überhitzung kaputt geht;1
Was passiert, wenn ein DNS-Server ausfällt?;Die Tastatur funktioniert nicht mehr;Alle Laptops werden gelöscht;Man kann keine Web-Adressen (z.B. google.ch) mehr aufrufen;3
Warum haben grosse Firmen wie Amazon Tausende von Servern?;Weil ein Server nur eine Webseite speichern kann;Um die Last zu verteilen, damit die Seite nicht abstürzt;Weil sie zu viel Geld haben;3
Du findest einen fremden USB-Stick. Warum darfst du ihn niemals in deinen PC stecken?;Weil er den PC physisch verbiegen könnte;Weil der Speicherplatz dann sofort voll ist;Wegen der Gefahr durch Viren und Malware;2
In einem Netzwerk gibt es einen 'Türsteher', der entscheidet, wer rein darf. Wie heisst dieser?;Firewall;Router;Grafikkarte;3
Was ist ein 'Backup'?;Ein spezielles Computer-Gehäuse;Eine Sicherheitskopie deiner Daten;Eine zusätzliche Maus;1
Warum ist es gefährlich, für alle Konten (Instagram, Gaming, Mail) dasselbe Passwort zu nutzen?;Weil man sich nur ein Wort merken muss;Weil Hacker mit einem geknackten Passwort Zugang zu allem haben;Weil die Tastatur dann schneller kaputt geht;2
Ein Rechenzentrum braucht viel Strom. Was ist neben den Servern der grösste Stromfresser?;Die Klimaanlage zur Kühlung;Die Kaffeemaschine;Die Beleuchtung;2
Was ist 'Phishing'?;Angeln in der Mittagspause;Ein neuer Grafik-Effekt;Betrugsversuch per Mail, um Passwörter zu stehlen;1
Woran erkennst du eine sichere Webseite im Browser?;Am Schlosssymbol und 'https://';An der roten Farbe der Seite;Am Namen des Herstellers;3
Was macht ein Administrator?;Er verwaltet Benutzer und schützt die Systeme;Er baut nur Webseiten;Er verkauft Handys;1
Was ist Linux?;Ein neuer Prozessor von Apple;Ein spezielles Kabel für Monitore;Ein bekanntes Open-Source-Betriebssystem für Server;1
Warum sind Software-Updates so wichtig?;Sie machen den PC schwerer;Sie ändern nur das Design;Sie schliessen Sicherheitslücken;3
Wie nennt man die Geschwindigkeit deiner Internetverbindung?;Bandbreite;Lautstärke;Helligkeit;3
Was ist ein 'Switch' in einem Netzwerk?;Ein Gerät, das mehrere PC-Kabel miteinander verbindet;Ein Programm zum Bilder bearbeiten;Ein Knopf am Monitor;1
Welches Dateiformat wählst du für ein Logo, das man riesig vergrössern muss?;Foto (.jpg);Textdatei (.txt);Vektorgrafik (.svg / .ai);1
Welches Farbmodell nutzt dein Handy-Bildschirm?;CMYK;Bleistift;RGB;3
Welches Farbmodell nutzt ein Drucker für ein Plakat?;CMYK;Pantone;RGB;3
Was ist ein Pixel?;Ein spezieller Sound-Effekt;Ein Kabel;Ein kleiner Bildpunkt auf dem Monitor;1
Was ist der Vorteil von 'SEO'?;Die Webseite bekommt mehr Farben;Die Webseite wird bei Google besser gefunden;Die Webseite braucht weniger Strom;3
Du nutzt Musik von einem YouTube-Star für dein Video ohne zu fragen. Welches Gesetz brichst du?;Das Strassengesetz;Das Urheberrecht;Das Datenschutzgesetz;2
Was beschreibt die 'User Experience' (UX)?;Wie einfach und angenehm eine App zu bedienen ist;Wie viel der PC gekostet hat;Wie viele Stunden man spielt;2
Was ist ein Slogan?;Ein Grafik-Format;Ein technisches Bauteil;Ein kurzer, einprägsamer Werbespruch;1
Wofür nutzt man ein 'Storyboard'?;Um den PC zu reparieren;Um Texte zu übersetzen;Um die Szenen eines Videos vorab zu planen;3
Welche Schriftart wirkt seriöser für einen offiziellen Brief?;Eine bunte Schreibschrift;Comic Sans;Eine Serifenschrift (z.B. Times New Roman);3
Was ist 'Branding'?;Daten auf CD brennen;Der Aufbau einer Marken-Identität;Ein Fehler in der Grafikkarte;3
Warum ist Kontrast im Design wichtig?;Damit der PC weniger rechnet;Damit man den Text gut lesen kann;Damit Bilder kleiner werden;2
Was macht ein Mediamatiker im Marketing?;Er plant, wie man Kunden am besten erreicht;Er repariert Drucker;Er schreibt nur Programmcode;2
Was ist 'Responsive Design'?;Ein Design, das besonders schnell lädt;Ein Design für Drucker;Ein Design, das sich an die Bildschirmgrösse anpasst;1
Wofür ist ein 'Moodboard' gut?;Um den Monitor zu kalibrieren;Um die Laune der Mitarbeiter zu messen;Um Ideen und Farben für ein Projekt zu sammeln;3
Was bedeutet 'Barrierefreiheit' im Web?;Dass die Seite für Menschen mit Behinderungen gut nutzbar ist;Dass die Seite kein Internet braucht;Dass die Seite kostenlos ist;3
Warum sollte man nicht zu viele Schriftarten mischen?;Die Datei wird zu schwer;Es wirkt unruhig und unprofessionell;Der Browser stürzt ab;1
Was ist ein 'Thumbnail'?;Ein kleines Vorschaubild für ein Video;Ein spezielles Kabel;Ein grosser Werbebanner;2
Was ist Social Media Marketing?;Ein neues Handy kaufen;Privat auf TikTok surfen;Werbung und Kommunikation auf Plattformen wie Instagram;1
Welches Programm nutzt man für professionelle Fotobearbeitung?;Photoshop;PowerPoint;Excel;3
Ein Nutzer sagt: 'Mein PC geht nicht an'. Was prüfst du als Erstes?;Ob alle Kabel richtig eingesteckt sind;Ob er ein neues Spiel installiert hat;Ob der Tisch sauber ist;1
Was ist das 'Gehirn' eines Computers?;Die Festplatte;Die CPU (Prozessor);Der Monitor;1
Was tust du, bevor du Bauteile im Inneren eines PCs anfasst?;Dich statisch entladen (z.B. Erdungsband);Die Hände eincremen;Den PC kräftig schütteln;2
Warum braucht eine CPU Wärmeleitpaste?;Damit die Hitze besser an den Kühler abgegeben wird;Damit sie im Gehäuse nicht rutscht;Damit sie glänzt;1
Was ist der Vorteil einer SSD gegenüber einer HDD?;Sie ist billiger und schwerer;Sie ist viel schneller und robuster;Sie braucht keine Software;1
Welchen Anschluss nutzt man heute für fast alles (Laden, Daten, Video)?;Diskettenlaufwerk;USB-C;VGA;2
Dein Laptop wird sehr laut und heiss. Was ist oft die Ursache?;Die Lüfter sind verstaubt;Die Musik ist zu laut;Der Akku ist zu voll;2
Was bedeutet 'Plug and Play'?;Zuerst spielen, dann arbeiten;Anschliessen und das Gerät funktioniert sofort;Dass das Gerät nur mit Spielen geht;1
Was ist 'RAM' (Arbeitsspeicher)?;Ein Kabel für den Drucker;Der langfristige Speicher für Urlaubsfotos;Das Kurzzeitgedächtnis für aktive Programme;2
Was machst du, wenn ein User sein Passwort vergessen hat?;Identität prüfen und Passwort zurücksetzen;Ihm dein eigenes Passwort geben;Den PC neu kaufen;3
Was ist ein 'Ticket-System'?;Ein System zum Sammeln von Support-Anfragen;Ein Programm zum Kinokarten kaufen;Ein Musik-Player;1
Warum darf man Monitore nicht mit scharfen Reinigern putzen?;Die Schutzschicht des Displays könnte zerstört werden;Der Monitor wird dadurch magnetisch;Die Pixel könnten herausfallen;1
Was macht die Grafikkarte?;Sie speichert Word-Dokumenten;Sie sorgt für den Internetempfang;Sie berechnet die Bilder für den Monitor;1
Warum nutzt man heute M.2 SSDs?;Weil sie bunter leuchten;Weil sie winzig klein und extrem schnell sind;Weil sie keinen Strom brauchen;3
Was bedeutet 'Ergonomie' am Arbeitsplatz?;Dass man im Stehen schlafen kann;Dass alle PCs die gleiche Farbe haben;Den Arbeitsplatz gesund und bequem einrichten;2
Was ist ein 'Treiber'?;Ein Mitarbeiter, der Pakete liefert;Software, damit Hardware mit dem PC kommunizieren kann;Ein spezielles Virenschutzprogramm;3
Was ist der 'First-Level-Support'?;Die erste Anlaufstelle für technische Probleme;Das Team im Keller;Der Support für den Chef;2
Ein PC piept beim Starten, aber der Bildschirm bleibt schwarz. Was ist das?;Ein Wecker;Ein technischer Fehlercode (z.B. RAM-Problem);Der PC ist fröhlich;1
Was ist ein 'Betriebssystem'?;Die Grund-Software (z.B. Windows);Ein Spiel;Die Hardware des PCs;2
Warum ist ein 'Shut Down' (Herunterfahren) wichtig?;Damit alle Daten sauber gespeichert und Programme beendet werden;Damit der PC leichter wird;Damit man den Monitor putzen kann;1
;;;;1
